lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
84.043,29.534,YARE,1111,10,7.918303,25.242,0.333999,0.300333,7.282,27.562,0.0,0.636,-2.32
83.895,29.179,MSTG,1111,10,7.604,25.112,0.634,0.391,8.534,25.402,0.0,-0.93,-0.29
83.9,28.3,SRNK,1111,10,8.806698,31.567868,0.113137,0.226274,8.881,29.748,0.0,-0.074,1.819
83.643,28.599,GANS,1111,10,8.513685,27.670946,0.7,0.6,9.645,30.01,0.0,-1.132,-2.339
83.658,28.508,JALT,1111,10,8.213272,28.570921,0.7,0.6,9.687,31.109,0.0,-1.474,-2.538
83.645,28.71,TUKO,1111,10,7.414202,27.570943,0.8,0.7,6.836,27.977,0.0,0.578,-0.406
83.978,28.199,POKH,1111,10,8.112031,34.170371,0.5,0.4,8.778,30.32,0.0,-0.666,3.851
83.953,29.178,MST2,1111,10,4.603,24.81,1.59,1.13,8.809,25.95,0.0,-4.206,-1.14
84.043,29.534,YARE,1111,10,8.516,25.242,0.68,0.53,7.282,27.562,0.0,1.234,-2.32
85.008,27.316,HET0,1111,10,9.503,37.446,1.0,0.9,9.559,34.822,0.0,-0.056,2.624
83.718,28.781,JOM0,1111,10,7.909,26.724,0.9,0.9,7.153,26.75,0.0,0.756,-0.026
85.398,27.575,PKI0,1111,10,11.685,36.174,1.0,0.9,10.419,34.422,0.0,1.266,1.752
85.222,28.015,RAM0,1111,10,11.431,30.015,1.0,0.9,8.356,31.379,0.0,3.075,-1.364
85.329,28.171,SYA0,1111,10,10.016,29.951,1.0,1.0,8.615,30.437,0.0,1.401,-0.486
85.28,27.693,AIRP,1111,10,10.568,32.135,3.4,1.8,8.976,31.798,0.0,1.592,0.337
83.718,28.781,JOMO,1111,10,9.709,25.124,2.5,1.1,7.153,26.75,0.0,2.556,-1.626
83.978,28.199,POKH,1111,10,9.277,31.409,2.7,1.3,8.778,30.32,0.0,0.499,1.089
84.04,29.72,J332,1111,10,10.068,21.671,1.91,1.84,9.093,28.579,0.0,0.975,-6.908
84.16,29.68,XZZB,1111,10,6.969,18.672,1.14,1.12,8.642,28.116,0.0,-1.673,-9.444
84.043,29.534,YARE,1111,10,7.269,24.871,0.54,0.53,7.282,27.562,0.0,-0.013,-2.691
83.718,28.781,JOMO,1111,10,8.496,25.604,1.87,1.38,7.153,26.75,0.0,1.343,-1.146
83.978,28.199,POKH,1111,10,9.594,35.115,2.22,1.48,8.778,30.32,0.0,0.816,4.795
